record_type,brand_name,footer_caption,footer_note,position,slug,label,href,is_default,segment_slug,collection_kicker,title,description,primary_cta_label,primary_cta_href,secondary_cta_label,secondary_cta_href,background_image,quote_kicker,quote_body,accent,arrivals_kicker,arrivals_title,eyebrow,subtitle,image_url,cta_label,cta_href,body,value,product_id,brand,name,price,size_tag,fit_note,nav_label,route_aliases,hero_eyebrow,hero_title,hero_description,hero_image_url,hero_image_alt,quote_author,story_eyebrow,story_title,story_body,story_image_url,story_image_alt,story_cta_label,story_cta_href,results_label,sort_label,page_slug,filter_key,options,default_value,badge,material,image_alt,filter_tags
site_meta,ND Shop,Crafted for the Discerning,"Workbook-driven homepage synced to the Stitch editorial direction, with each image URL editable in Excel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,1,all-archive,All Archive,/,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,2,nam,Nam,/categories/Shop%20Men,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,3,nu,Nữ,/categories/Shop%20Women,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nav_item,,,,4,accessories,Accessories,/categories/Accessories,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,all-archive,Winter 2024 Collection,Forest & Hearth,A tactile study of survival and comfort. Rooted in deep forest textures and the warmth of a mountain refuge.,Explore Collection,/products,View Lookbook,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuCPKv1CtBwPM413euox0uKnxmUXjsuyZFpFIvDMoW9tfefpHVd_8BFtHSEnUjm5XAQu4WMkS8vgS56v7kIQYWar2OBBpzOurqNCin2KoM1hYEZHvbpagIiz8m2nCidCAiRbDaeJLBNHxra37cwt7QEG3UlOcKbs-W6WuTDZj3qjg9hWIs2YR26l-ijHVnj8ck1-5NDhyVXXQECwDKQJs1i-nYT93ubM2EFutXuxPWxUHWH2o2Zhbz_naP2SXRRL50t8HcB8sUf5LXiX,The Technical Edge,Microservice-driven inventory ensures real-time availability of limited atelier pieces.,#cbb8a2,New Arrivals,Seasonal Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,nam,Editorial Category,Men's Atelier,An architectural study in silhouette and structure. Crafted for the modern artisan.,Open Men's Atelier,/categories/Shop%20Men,View Archive,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuACWMir-mH0L8UXbUXQWypp-pFR6ldBwMeB_P57xJ4h6lF91JgCYYyEJ27pPIbRuST3wzOd8tibscQ-NbIurAXAyGOUWfZstI5mdT9d5_jh6VLXet-x-y-OPWmMV69qNvZALg2WhY1PVY_SFZnR1pxtNpFxR9lsyyLR7XmqRbJ_dhy0WQE2rK_YiUzI2TXstgAkQ537sWLyCCgyHe5Z2QW16TODc2jAY392leqTD0jFdmPyw689W_PhHTFoOURRakfD2ODeVuxVtb-u,Atelier Note,"Structure, restraint, and material depth staged with the same rhythm as the Stitch editorial system.",#a98567,Men's Edit,Structured Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,nu,Editorial Category,Women's Atelier,"A curated selection of architectural silhouettes and natural textiles, designed for the modern form.",Open Women's Atelier,/categories/Shop%20Women,View Archive,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuCCHjHHNBD0bZoSfUrXMIUsusvSJpfmxcJRzVyGEWriuKDCynB8NOcLil0MHJfUCfgjmGv_IMPAfbmEm73hz3s6Y6ycMQrKq1qnMzNHz4QbDczvsSfdf8SaL9vw3qoSEt36Xm52OFG4ej1BLs2XxqsJW_tPT1C2xruIyndF6i4KCKATXFKExblf5UqEURDlAYRnWNDYbLXe8GGoCndX4q2IeRKAuk6Etam3vFkW85HI4vZvrHKCLYN63hA-DGdTKTpY9k-VBO3aY4le,Atelier Note,"Quiet luxury, sculptural drape, and soft precision brought into a more spacious editorial layout.",#c19b92,Women's Edit,Quiet Luxury Pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,,,,,,,,,accessories,Editorial Category,Accessories Atelier,"A curated collection of tactile essentials, defined by material integrity and architectural form. Crafted for the discerning individual.",Open Accessories Atelier,/categories/Accessories,View Archive,/products,https://lh3.googleusercontent.com/aida-public/AB6AXuBlb713Ad1ZqSwci4xtZudIi3pLSP2LntjrYOZbjlMC3NLKbFllzQBjpelA2EcNqh24qXtAEpJDAyVB3yIDQIFXvkmKD86_5kVoAVPrMjID1bCAWG7fccKmwcS9kJ41ohvAPtYZJCMl2fOWYpy8JLZLlE7ksjMmFK7UnFdxUeGvbhsRltWVAsAFxPv7hkz1uizaDdvr0s5HWGulhxwsX6bDRakqRxoA2bYrvMeQA0Nta95LkdO9PMTmAYDvvqhCUeQTFYjDd4sXr9q0,The Master Artisan,True luxury is found in the hidden details of the stitch.,#b18f75,Accessories Edit,Tactile Objects in Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,1,,,,,all-archive,,Men's Atelier,,,,,,,,,,,,Editorial Category,"Architectural tailoring, knit structure, and grounded outerwear for the modern artisan.",https://lh3.googleusercontent.com/aida-public/AB6AXuCyUfebOMONTnvYr9ZpAON5r2sqH9cixvFEI4IUO1HgtLokw0DocOKis15vSsJ14j6mnx1QrXMXJyDrzK64DrNUI1kc34lTyj4aIPfoodV3MFa0JLPFNdllb_6HgGOigtKyydUohURWyjMOQURKHAk5z02a5vuIH_t821X1vUIusV9VajR3V14-QiTAt7WCragHu_ErX2cBuxj6cZyi0qHNw-tRhFozQO02eRzXwXB3GyXDgg6tVkt9BgTiuPHfPlE9ZdYH2sNodvYW,Open Men's Atelier,/categories/Shop%20Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,2,,,,,all-archive,,Women's Atelier,,,,,,,,,,,,Editorial Category,"Curated silhouettes, tactile textiles, and a softer line for the modern form.",https://lh3.googleusercontent.com/aida-public/AB6AXuBfeL88OBqW4Ue3Wr45J2UYNHHoz1V3GIYVT6BS47pFs4Ts1ZtnuMaaioY1y7Je7oqhcYL8DLZR8KKa3pevzh2EOXaCo_M9xAJhHsGvxIeawRZyLgrBDcTQKiMMTdBJfJv4EDGj_ST1SAVOcoV-DlbA_GhmqAhboruBHvNNSjrLZExknF7AnbpG7f-BfdcG52rKGirTBwXdWoxBIaSFpozclIZ4oni5B5b2Xn7rzo1a13KiUEDsW12kfxNX2AN9xi_LfBWp-G8i2o7n,Open Women's Atelier,/categories/Shop%20Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,3,,,,,all-archive,,Footwear Atelier,,,,,,,,,,,,Editorial Category,Handcrafted performance and sculptural form for the modern explorer.,https://lh3.googleusercontent.com/aida-public/AB6AXuC35EijN08hEhyXUNWU2WpmdXA-xKjXvVdQOkMB4J5Rt7XVw2ILNt27Jt92PUK2lOZLOyi-wwd64M20h4a_trllHLaecxpEhm3cRJskDeuyLTz248X3saxiF9Xx7qHWTTV-Q_6G58RaZiu-8vk3yYYOiP5aflLpGRjTe6yi6EtaoQKcBvHljgI4ItMv4FXnUPfGAYVnlVFrxYoDYB6LIE9tpXNeScpgugQTJzhp_icbkXy4Ay2kMR5-SI0rGXdV2RyT8p-AYS9ZdH9w,Open Footwear Atelier,/categories/Footwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,4,,,,,all-archive,,Accessories Atelier,,,,,,,,,,,,Editorial Category,"Objects, bags, and finishing pieces with architectural calm and material depth.",https://lh3.googleusercontent.com/aida-public/AB6AXuAtpa0mJyKNICckH1wefUZTbwZo2Cg73toQg0p8Gs8HN84jU1dorhR-2jnXY-oDpZbRJQTYU6z2RuFiaqR_vx_BDTT30cUs2PtZGI-fdDfLZlrhkBB-gyED-FFOC2t0Dwpfe2t6mBWGbfA-f4EbYvH1QV61hKuBF7UfI-b_NBaRjm_A3LejyFwwwvM-2t-K-zHQWiYcOHHbplLjNpn3jDEO4siwrnpdkAaVJDh28LrLN0qGfUWRCFcXRzKfNM5VvnVj7r3R8bZe5FpI,Open Accessories Atelier,/categories/Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,1,,,,,nam,,Sculpted Linen Shirt,,,,,,,,,,,,New Arrival,"Italian linen blend with a clean, editorial line.",https://lh3.googleusercontent.com/aida-public/AB6AXuBRTlahnsv0f7ya3xU5YTERBeygNv3B_6MEExHsUzTI3uGv3gn9RVVaVkXFHJAQIYeO-NnQ-n51wqkjA-oml_uoLI96mxp1piJxtPHA5ofpE_9tSdHTMa8lNfjCgdbUOSRi__Y4J8VFSz5HhI5ZB9C5Vl5zl-6FxNxhAYwEDNV_XOP2dGsj5rTUtGDd1a59qGSue1hdS28wAOq4_SpG152HGpLir9kJsPtGA9trmPt5raubxkNMY1AI1cI7Qs5-pnKuSFT_JrLZrEaz,View Piece,/categories/Shop%20Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,2,,,,,nam,,Structured Atelier Jacket,,,,,,,,,,,,Limited Edition,100% merino wool cut for a stronger shoulder and quiet authority.,https://lh3.googleusercontent.com/aida-public/AB6AXuA004mNLReNQb9OI2U6JwpX4idr5HiAL2OAqj-X2r60qRDaMIYLE7YAWWdvJ6_uvkh1jgDweWN2QRC0Z6CnAXNS54x6M_Qkf8uPtTr4G6Cl5-Y5z8iuGvbIv1u_DCawCRbkf01JSFMi_iZ2APFb_m56yIPq8-_Ap7HY-QbhgAL2tc-tsE4VsnyibszwQjgYBz28AGgGUIIQ7EDmY1bXGdkXyNQI991VG2ouIlVK-wOCqK_Lq8GNj4h27eldl1LjnR6Wt903BlKnHCVn,View Jacket,/categories/Shop%20Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,3,,,,,nam,,Modern Drape Trousers,,,,,,,,,,,,Tailoring,Fine serge cotton with a looser break and softened waistline.,https://lh3.googleusercontent.com/aida-public/AB6AXuBXRSWOWcHtCNyaMDYLCJzvRD_aYObkVBkIHPoz_HZOOuihWxPKo82MAX7anUmfBqHwOgx_6YthGokOn-aqEtAkMya3di9RNTlqqA2-zqT6x85Yh0CGWy5_gOTjOOMYxnRJ7B8A9ihZaMR-PzIAILb7T5rSMUCiZ-3CZRTX_u3XxJpOlXlYjWEZj4aFLaV_mamuWkKjkhTxSRpw7LyICx9lPITcKUuGOxJ0NkpKweDI4rMjqFkSSGZJssErigmmpbKq5Z6kLPVUehXg,View Trousers,/categories/Shop%20Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,4,,,,,nam,,Atelier Knit Polo,,,,,,,,,,,,Knitwear,Sea Island cotton knit that keeps the palette calm and tactile.,https://lh3.googleusercontent.com/aida-public/AB6AXuDBowt2AR0QGkZ_teHLK0qG2iUl8fGSUuNTrZHreU_s95xtmrbnCTB8LYOShnHaraaNDqoUnziBnVe2Rh6OAlJpU9ZSpF84L0-k23aokXc6aJdWswRdyGowycFswnENPgO9tfnUyUaMa2VjW8lGJYkmhPbnJhSE0zC0BdoSTdae8pmGnQwaAXzVlJJRhWYysiO1yf2n_lREj8nVxarkGub1OLnfLI4QrhAiAGV-AZTWnZg1MCqdpNi1pBSjb6RIPFAzXw0h_iTQCqrp,View Knitwear,/categories/Shop%20Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,1,,,,,nu,,Ethereal Silk Slip,,,,,,,,,,,,New Arrival,A lightweight shape that holds the softer side of the women's edit.,https://lh3.googleusercontent.com/aida-public/AB6AXuA2sL_3eVTxv8pTPhQFFFpSQH6Kaq9or00Ox__PprWsxnH4iFcdyvkF6yE_uLy_crNRWln5sUDsqQmSo-iayh_0MyCYYTR20XSGjWAB-uNe6duE69pSu714RVSt74tQMEIF3fuTduw02xllANi1JDAtn12UeUh9ljLf8hz3xi6jPfnSdYWCX7w9y3IwSDyovmYmtsxb0x9P-3bKU5qLNiMw7cc4_t2zNEpT8QLPRQLTFIXGR2WRSQbgpFitN5ZgjO-BIsY_4Wyg7jRS,View Dress,/categories/Shop%20Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,2,,,,,nu,,Architectural Overcoat,,,,,,,,,,,,Limited,Outerwear with a sharper line and a sculpted stance.,https://lh3.googleusercontent.com/aida-public/AB6AXuBmKXEwtGPg000dRd0DYpkc78_z_0z7Q60H3fju2rnkDAllnKGSFzesSqKvn2OqncI_k-QRIvUyfVSm75I-UKw3DhxiM5eOINn4C-vJnvj2z8uKIL2AqGnXgvmqeYEEzJ5-il3zT3BTGt9iPabLxhcPbK9AwTzCM3Z9Fo3vrhfReTlHCTZ3EIgs7_JxhOFfmrNerCamtXr0QKPKlok1p5W71S8CFoXMlgrk9yrqe55hyi8oG24OwLIfOD6sAGZDuAtdrYmvQ0QD-hzg,View Outerwear,/categories/Shop%20Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,3,,,,,nu,,Cloud Cashmere Crew,,,,,,,,,,,,Knitwear,A softer knit layer that keeps the edit warm without visual noise.,https://lh3.googleusercontent.com/aida-public/AB6AXuBEKFEZ7Xk7Fyqc9Uf8Rr7JfhPIghhY7j0HO6bqSglckdRAUU1XFK1Vy_uPXAbpLqczXmCH41FFfT4QIgBtt7oBHhaEojRqYoMhEeW0zN9yDlgFxnnAhZfa_FjmfnZNakXUp-HAT6D2gb_BUeHA5TXBmMVsObd_AHQfOwPuMZTKrAqSkXnJe60KUnlOWajJ6btQ5zyNadwls33tVZNcDlHyJ8_EUlUAhHRtQ90ZhEzMNN5Mzjf_Hr7Onn7MZF-hkz45XkPrdm6pngSw,View Knitwear,/categories/Shop%20Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,4,,,,,nu,,Sculptural Pleated Skirt,,,,,,,,,,,,Bottoms,A clean pleated profile that keeps the women's story precise and light.,https://lh3.googleusercontent.com/aida-public/AB6AXuAULIeOGtZd7vXZH0gSJHWiv3w1w4d6Tz7E7Y55Pp0wpbrudgRPkQEUxLNJ7z1iX2ofjNS4KSwbIFdzRgJR2rZEzslEi02TskRTUycOtweLNiBcTRv0RAiCUncTPXaXvHGzovAfwglQIxRlDavgkG0kp9z1__77ZtFulQa4AVlvR_muVhFSILTRpDDYMIgzrzsCEPjKJNyVc0k_NtV_qrK021aTU5RlI_Mg4TBu8JIzJLGkLHTEGfvWBezAYGbi6wNp_bgFRdeYEwST,View Skirt,/categories/Shop%20Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,1,,,,,accessories,,Atelier Tote,,,,,,,,,,,,Limited Edition,Vegetable tanned leather with a strong silhouette and quiet finish.,https://lh3.googleusercontent.com/aida-public/AB6AXuBBESdqWOWSR5qEzSZhDSiYksfl92Z2-nXfieKv7zls3FB-7JuZVx-N6rXRCgkpMkJyxFCIzvAJAfUETLq2m7IDhOFmOtlLXZ9qEspJxSM3dIgXBbd3dzVswFhn3Y0MqayyDJYGSylH-MIjZnLLMaswkecd7-JUIltIP_szY3CTjkboRukxyb0Hicjh_fTS7Q8NRXCPfvyi2Gd8UjbveWvWIIUauI-d4h0ra0W790prCr-I9666OBdQ8zWwoQM8OSo6iYMbifIvLw2n,View Tote,/categories/Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,2,,,,,accessories,,Aurora Wrap,,,,,,,,,,,,Essential,Organic raw silk staged as a tactile accent in the accessory story.,https://lh3.googleusercontent.com/aida-public/AB6AXuCJ_mIoxtuOYX0UmZ6fp1vpG_etnXOkuxN0sOW8aXUVddHj5eDEGxKoK_oij-8jI8EDqrG_IXPuR5HXX_5FgjnVIMXKR3rvffkz_2hI2uHpAzMIbNZASVlBgA47Ecvrg53PTIsx8zim-xN9ZKFMoR3ivhIQDQ1jUJ0fFx2scgrGApYeeDOx-irk-VfW38VMHIZ4QMUtn6sXwUjEJRXtZ8dTLBnKQVPGxBzf7oOFEbYGY_2P__2xLjofQjJvPkwrIzkn9OjMEUgKEC2O,View Wrap,/categories/Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,3,,,,,accessories,,Cintura Belt,,,,,,,,,,,,Leather Detail,Full grain saddle leather shaped to feel precise and durable.,https://lh3.googleusercontent.com/aida-public/AB6AXuDclyoI7lW_Aez2lBayMz4ES5BVdH-wo43IL4ZwpD4HLQkaJqfV3eDM-qMUs4V8Uyl6BTZ9FSNg7ExFisE6J-TMxcflCy5mFritcP54bDT49eqwGnwGnsOeheOgbCmpdtfGvnHaqpfmRpU4zQvBD7B4tmigGgv7hCDEHWLojIzOlAfe5p-0cCnzLjktClPIw5lG6h2qfT0buVNcsY57FFriSrjdMpV_jPcwn3Dwsz1C-8IS20dhOYE1-Kak6Hi0R-OiEeULdIqMBj2c,View Belt,/categories/Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category_tile,,,,4,,,,,accessories,,Vault Clutch,,,,,,,,,,,,Leather Detail,Nappa leather in a more compact silhouette for evening structure.,https://lh3.googleusercontent.com/aida-public/AB6AXuAc-xgefZmjRHW4tYawNPs3ljWfgQ66YMBuFgX39XflOo-rQyjbJ2Ju2V0nLkyj2SVuz2BKsp1ucM74P4Gg2Q-TiJKsqrjsQRpxYORvaVExN0KFMkAU9KQFmWEmtNZHK5dm7iBBb1zYMTsluHO4Em5IwIi3lS3JGSUeU_unqmYgh-Fw65tcUaH2Ywxl8ag7h1znu1rGefQrkuDTARLHNwtQdpiGPKWCCp8JpO_yLO4kKGzLmwj8g3VfRzxs02GzkmBt2St6l1zyFYZU,View Clutch,/categories/Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callout,,,,,,,,,all-archive,,"Digital Precision, Analogue Soul.",,,,,,,,,,,,Editorial System,,https://lh3.googleusercontent.com/aida-public/AB6AXuA-QCiHmdCOxRlVT1rixfgiaLjtOyUpf_qCwS4N8rEMGTTVyJxqkHxQ1iiUeTIIjM9C_MgASpIzwLXa8wLI7ck0F5p1lc6AA6MfKkb3aN_Nbw5AhWsU9lBPxRcNlN7vOcvcId55iSoZRYNe8TCXUI_PC9zSeiPi6-O2ojrYX1RkopzPM8W9xTFEi3rS1s2qZ8IvVBPlgiJak9SR8Bp7wD71RSztHJCzs3MKTW0TNUGEn5sxJF68kLn8MLi1Kcp6ODrKfOGHNtCZKygx,,,Beyond the silhouette lies a sophisticated technological core. Our microservice-driven inventory architecture ensures that every piece in our Digital Atelier is accounted for in real time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callout,,,,,,,,,nam,,"Structure, material depth, and quieter authority.",,,,,,,,,,,,Men's Atelier,,https://lh3.googleusercontent.com/aida-public/AB6AXuDb4HgZThk-i_juM7LnHT28IvYp6L3O-BYlcwDKgfj8NoIfTFFhOF2Ole0eBVsqpYg3jj_0TeLOFVAlmWeCOqcLhMrp0WOXtTgYUke-t7sj7lC-e4jEl3lE8aZs01lCVJenptBJf3Fh0f1sdTVQ9W0cWZD8hEtVjX-LK-Bsqoc2UzdzkTUWeVjp7hrhjMGZhuTtvQ56nTXVelw9_F3p1d8ryVxqAzayeUimjbfSI8FHukDr7r45A4VjAJ3lpymfXulGrEM83TxdK6Sj,,,"This tab reuses the home layout while pulling imagery and copy from the Men's Atelier direction in Stitch, so the UI stays fixed and the editorial content stays fluid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callout,,,,,,,,,nu,,"Quiet luxury, defined by purpose.",,,,,,,,,,,,Women's Atelier,,https://lh3.googleusercontent.com/aida-public/AB6AXuAaOoy5mPR6kERrz2pjB05mC0JlxtRtsf2hinDbaZYFD7RKSJI_OTZn_SVo1D7JP85uSvsIZaQ5ebu77UNrwEjYJZhP6gfcKLOHkl-z5NFjTzCwUsmsvv1WbILS5HtKtmz6D5YPmeIASNcfDev_nsQcB5Odi4O5svKDuTAkJyHAlgm2j2VUKiwX_XzxOMsMjnnzRdyJcj-olztbGq4uYqe6FRhYp04lXvSqa4dkOjD9RZ1tB8UYpCw_Jj4C-Vwk4eokTl5ETem6rnWz,,,"The women's story leans into sculptural softness and natural textiles, while the workbook keeps the copy and images easy to refresh without reworking the layout.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
